Problem Statement,Description,Issue ID,Summary,Customer Name,Product Name,SR ID,Pd_ID
API timeout errors,Average response time exceeds 10s,ISS-70220,UI crash,Thomas-Graham,Insight360,SR-81265,PROD-11120
API timeout errors,API call fails after 30s,ISS-70221,API latency,York-Ross,NetConnect,SR-80799,PROD-11305
Slow system response,Data not syncing between apps,ISS-70222,Login issue post-upgrade,"Martin, Stevenson and Meadows",NetConnect,SR-80458,PROD-11115
Login failures after upgrade,API call fails after 30s,ISS-70223,API latency,Arroyo PLC,NetConnect,SR-82598,PROD-11235
Missing data sync,API call fails after 30s,ISS-70224,UI crash,"Robinson, Shaw and Acosta",DataSphere,SR-81306,PROD-11172
API timeout errors,API call fails after 30s,ISS-70225,Sync issue,Gilbert-Smith,DataSphere,SR-81284,PROD-11370
API timeout errors,Data not syncing between apps,ISS-70226,API latency,Ramos-Hernandez,Insight360,SR-80122,PROD-11072
API timeout errors,Dashboard page crashes intermittently,ISS-70227,UI crash,Suarez LLC,Insight360,SR-84520,PROD-11229
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70228,Login issue post-upgrade,"Zimmerman, Collins and Jackson",CloudEdge,SR-82322,PROD-11183
Slow system response,Average response time exceeds 10s,ISS-70229,UI crash,Vega Ltd,NetConnect,SR-83584,PROD-11354
Dashboard not loading,Average response time exceeds 10s,ISS-70230,Performance degradation,"Rosario, Reeves and Velez",CloudEdge,SR-82085,PROD-11913
Slow system response,Data not syncing between apps,ISS-70231,Performance degradation,Hampton and Sons,Insight360,SR-84017,PROD-11586
Missing data sync,API call fails after 30s,ISS-70232,API latency,Taylor Group,NetConnect,SR-82921,PROD-11145
API timeout errors,Data not syncing between apps,ISS-70233,Login issue post-upgrade,Flores-Townsend,DataSphere,SR-83856,PROD-11448
Missing data sync,Average response time exceeds 10s,ISS-70234,API latency,"Hernandez, White and Burgess",CloudEdge,SR-84750,PROD-11837
API timeout errors,Users unable to log in after v2.3 patch,ISS-70235,Login issue post-upgrade,"Bowman, Davis and Cox",DataSphere,SR-81303,PROD-11666
Dashboard not loading,Data not syncing between apps,ISS-70236,Performance degradation,Blake and Sons,NetConnect,SR-80429,PROD-11397
Missing data sync,Average response time exceeds 10s,ISS-70237,Login issue post-upgrade,"Miller, Hardy and Watkins",DataSphere,SR-84021,PROD-11102
Missing data sync,Average response time exceeds 10s,ISS-70238,Sync issue,York-Ross,CloudEdge,SR-84395,PROD-11192
Slow system response,Data not syncing between apps,ISS-70239,Performance degradation,"Nelson, Young and Dyer",Insight360,SR-83362,PROD-11765
Missing data sync,Data not syncing between apps,ISS-70240,UI crash,Guerrero Ltd,CloudEdge,SR-83775,PROD-11942
Slow system response,API call fails after 30s,ISS-70241,Performance degradation,"Williams, Anderson and Rosales",Insight360,SR-80924,PROD-11567
Slow system response,API call fails after 30s,ISS-70242,Performance degradation,Lambert Inc,Insight360,SR-84945,PROD-11722
Slow system response,Users unable to log in after v2.3 patch,ISS-70243,API latency,Schultz-Reyes,CloudEdge,SR-84796,PROD-11650
API timeout errors,API call fails after 30s,ISS-70244,Sync issue,Barker-Fuentes,NetConnect,SR-83920,PROD-11489
API timeout errors,API call fails after 30s,ISS-70245,Login issue post-upgrade,Mcdaniel Inc,CoreAnalytics,SR-80789,PROD-11097
Missing data sync,Data not syncing between apps,ISS-70246,UI crash,"Kim, Buckley and Espinoza",Insight360,SR-84349,PROD-11060
Slow system response,Average response time exceeds 10s,ISS-70247,Performance degradation,"White, Horton and Bender",Insight360,SR-80780,PROD-11486
API timeout errors,Data not syncing between apps,ISS-70248,UI crash,Hale PLC,CloudEdge,SR-84438,PROD-11252
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70249,Performance degradation,Dennis-Duffy,CloudEdge,SR-84465,PROD-11456
Slow system response,Data not syncing between apps,ISS-70250,API latency,Watkins-Freeman,CloudEdge,SR-83392,PROD-11174
Dashboard not loading,Data not syncing between apps,ISS-70251,Sync issue,Hensley Ltd,CoreAnalytics,SR-84777,PROD-11519
Missing data sync,Dashboard page crashes intermittently,ISS-70252,Login issue post-upgrade,Bautista Ltd,Insight360,SR-83731,PROD-11595
Slow system response,Dashboard page crashes intermittently,ISS-70253,Performance degradation,"Hall, Davis and Butler",CloudEdge,SR-82289,PROD-11880
Missing data sync,Average response time exceeds 10s,ISS-70254,Login issue post-upgrade,"Keith, Cisneros and Hendricks",DataSphere,SR-82331,PROD-11363
Missing data sync,API call fails after 30s,ISS-70255,Login issue post-upgrade,"Miranda, Martin and Erickson",Insight360,SR-80526,PROD-11163
Missing data sync,Dashboard page crashes intermittently,ISS-70256,Sync issue,Reed-James,CloudEdge,SR-84990,PROD-11148
API timeout errors,Users unable to log in after v2.3 patch,ISS-70257,Sync issue,Lewis-Lopez,Insight360,SR-81565,PROD-11796
Missing data sync,Average response time exceeds 10s,ISS-70258,API latency,Mason Ltd,Insight360,SR-84480,PROD-11815
Login failures after upgrade,API call fails after 30s,ISS-70259,UI crash,"Vargas, Smith and Walker",Insight360,SR-83411,PROD-11998
Slow system response,Average response time exceeds 10s,ISS-70260,Sync issue,Jackson-Vasquez,NetConnect,SR-80118,PROD-11881
Missing data sync,Average response time exceeds 10s,ISS-70261,UI crash,Park PLC,DataSphere,SR-82086,PROD-11923
Missing data sync,API call fails after 30s,ISS-70262,Sync issue,Hernandez PLC,CloudEdge,SR-80099,PROD-11357
Login failures after upgrade,Data not syncing between apps,ISS-70263,Performance degradation,Mitchell-Parker,CoreAnalytics,SR-84135,PROD-11717
Missing data sync,Data not syncing between apps,ISS-70264,UI crash,Christensen Ltd,CloudEdge,SR-83046,PROD-11377
Slow system response,Users unable to log in after v2.3 patch,ISS-70265,API latency,Simpson-Ray,CoreAnalytics,SR-82831,PROD-11831
Slow system response,Data not syncing between apps,ISS-70266,Performance degradation,Coleman-Welch,NetConnect,SR-81732,PROD-11027
Missing data sync,Average response time exceeds 10s,ISS-70267,Sync issue,Hardy Group,DataSphere,SR-82060,PROD-11218
Slow system response,Average response time exceeds 10s,ISS-70268,API latency,"Diaz, Lindsey and Adams",CoreAnalytics,SR-83085,PROD-11739
Login failures after upgrade,Data not syncing between apps,ISS-70269,Performance degradation,Edwards-Day,Insight360,SR-80269,PROD-11395
Login failures after upgrade,Average response time exceeds 10s,ISS-70270,Performance degradation,Lewis-Patel,NetConnect,SR-83063,PROD-11160
Login failures after upgrade,Data not syncing between apps,ISS-70271,Sync issue,"Robinson, Shaw and Acosta",DataSphere,SR-83255,PROD-11603
API timeout errors,API call fails after 30s,ISS-70272,Performance degradation,"Cooper, Swanson and Pierce",CloudEdge,SR-83666,PROD-11151
Login failures after upgrade,Average response time exceeds 10s,ISS-70273,Login issue post-upgrade,Miller-Knight,Insight360,SR-80606,PROD-11532
API timeout errors,Dashboard page crashes intermittently,ISS-70274,Sync issue,Poole-Kelley,CloudEdge,SR-84790,PROD-11514
Dashboard not loading,Dashboard page crashes intermittently,ISS-70275,UI crash,"Peterson, Wright and Hamilton",DataSphere,SR-84688,PROD-11283
API timeout errors,Data not syncing between apps,ISS-70276,Login issue post-upgrade,"Johnson, Ortega and Solomon",CoreAnalytics,SR-80280,PROD-11982
Missing data sync,Average response time exceeds 10s,ISS-70277,Login issue post-upgrade,Lee PLC,Insight360,SR-84262,PROD-11955
Dashboard not loading,Dashboard page crashes intermittently,ISS-70278,Login issue post-upgrade,Giles-Gallagher,Insight360,SR-82479,PROD-11929
Dashboard not loading,Average response time exceeds 10s,ISS-70279,Login issue post-upgrade,Williams-Myers,Insight360,SR-80757,PROD-11593
Slow system response,Average response time exceeds 10s,ISS-70280,Performance degradation,"Duarte, Reese and Gonzalez",Insight360,SR-83260,PROD-11050
Login failures after upgrade,API call fails after 30s,ISS-70281,UI crash,Harris Group,Insight360,SR-81543,PROD-11566
Login failures after upgrade,Data not syncing between apps,ISS-70282,Sync issue,Peters-Garrett,Insight360,SR-83627,PROD-11766
Slow system response,API call fails after 30s,ISS-70283,UI crash,"Campbell, Bennett and Carrillo",CoreAnalytics,SR-81062,PROD-11109
Dashboard not loading,API call fails after 30s,ISS-70284,Login issue post-upgrade,Mcdaniel-Moore,CloudEdge,SR-83559,PROD-11072
Dashboard not loading,Dashboard page crashes intermittently,ISS-70285,API latency,Baird-Krause,Insight360,SR-80692,PROD-11391
Slow system response,Average response time exceeds 10s,ISS-70286,API latency,Whitney-Hernandez,NetConnect,SR-81516,PROD-11980
Missing data sync,Average response time exceeds 10s,ISS-70287,Sync issue,Poole-Kelley,Insight360,SR-82796,PROD-11138
API timeout errors,Dashboard page crashes intermittently,ISS-70288,Login issue post-upgrade,"Bruce, Jensen and Carroll",Insight360,SR-81011,PROD-11261
Dashboard not loading,Dashboard page crashes intermittently,ISS-70289,Login issue post-upgrade,"Freeman, Jones and Hall",DataSphere,SR-83738,PROD-11480
Missing data sync,API call fails after 30s,ISS-70290,Sync issue,"Mueller, Swanson and Rogers",CloudEdge,SR-81945,PROD-11964
Dashboard not loading,Dashboard page crashes intermittently,ISS-70291,UI crash,"West, Evans and Gilbert",CoreAnalytics,SR-82346,PROD-11026
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70292,UI crash,"Jackson, Krueger and Lee",CloudEdge,SR-82064,PROD-11726
Missing data sync,Data not syncing between apps,ISS-70293,UI crash,"Lopez, Cunningham and Wells",NetConnect,SR-80583,PROD-11982
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70294,Login issue post-upgrade,Murray LLC,DataSphere,SR-84070,PROD-11373
Login failures after upgrade,Data not syncing between apps,ISS-70295,API latency,Randall Inc,DataSphere,SR-82168,PROD-11093
Dashboard not loading,Dashboard page crashes intermittently,ISS-70296,UI crash,Padilla-Wang,NetConnect,SR-84794,PROD-11548
Missing data sync,API call fails after 30s,ISS-70297,Login issue post-upgrade,Phillips Group,Insight360,SR-82711,PROD-11572
API timeout errors,API call fails after 30s,ISS-70298,Login issue post-upgrade,"Jefferson, Riggs and Morrow",CoreAnalytics,SR-81897,PROD-11647
Slow system response,Users unable to log in after v2.3 patch,ISS-70299,Login issue post-upgrade,"Schneider, Brown and Ellison",CloudEdge,SR-81923,PROD-11810
Missing data sync,Dashboard page crashes intermittently,ISS-70300,Performance degradation,"Miller, Chapman and Dickerson",DataSphere,SR-81960,PROD-11407
Login failures after upgrade,Average response time exceeds 10s,ISS-70301,Login issue post-upgrade,"Wilkinson, Lane and Fields",CloudEdge,SR-81808,PROD-11738
API timeout errors,Dashboard page crashes intermittently,ISS-70302,Performance degradation,Pope-Hopkins,DataSphere,SR-83545,PROD-11340
API timeout errors,Data not syncing between apps,ISS-70303,Sync issue,Moyer-Moyer,Insight360,SR-81287,PROD-11673
Missing data sync,Users unable to log in after v2.3 patch,ISS-70304,API latency,Mcdaniel Inc,CloudEdge,SR-84230,PROD-11497
Slow system response,API call fails after 30s,ISS-70305,Performance degradation,Schroeder Group,CloudEdge,SR-82318,PROD-11639
Missing data sync,Users unable to log in after v2.3 patch,ISS-70306,Sync issue,"Ramirez, Lee and Rodriguez",NetConnect,SR-84615,PROD-11221
Missing data sync,Average response time exceeds 10s,ISS-70307,API latency,Parker PLC,DataSphere,SR-82837,PROD-11427
Login failures after upgrade,Average response time exceeds 10s,ISS-70308,UI crash,"Brown, Lynch and Ritter",CoreAnalytics,SR-83678,PROD-11621
Slow system response,Average response time exceeds 10s,ISS-70309,Login issue post-upgrade,Cantrell-Martinez,CloudEdge,SR-82619,PROD-11793
Missing data sync,Users unable to log in after v2.3 patch,ISS-70310,UI crash,"Spencer, Wiley and Martin",Insight360,SR-81419,PROD-11624
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70311,Sync issue,Leon and Sons,DataSphere,SR-80708,PROD-11055
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70312,Sync issue,Taylor Ltd,CloudEdge,SR-82878,PROD-11435
API timeout errors,Dashboard page crashes intermittently,ISS-70313,Sync issue,Rogers-Miller,Insight360,SR-81658,PROD-11826
Missing data sync,Dashboard page crashes intermittently,ISS-70314,UI crash,Page-Warner,Insight360,SR-81065,PROD-11902
Dashboard not loading,Data not syncing between apps,ISS-70315,UI crash,Barker PLC,Insight360,SR-82424,PROD-11603
Login failures after upgrade,Average response time exceeds 10s,ISS-70316,API latency,Williams-Cisneros,CoreAnalytics,SR-84861,PROD-11998
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70317,Performance degradation,Johnson and Sons,CloudEdge,SR-83996,PROD-11860
Dashboard not loading,Data not syncing between apps,ISS-70318,Sync issue,"Lopez, Snyder and Kaufman",NetConnect,SR-83850,PROD-11047
Slow system response,Dashboard page crashes intermittently,ISS-70319,Performance degradation,Kennedy-Campbell,CloudEdge,SR-80775,PROD-11887
Missing data sync,API call fails after 30s,ISS-70320,API latency,Griffith Ltd,Insight360,SR-80236,PROD-11739
API timeout errors,API call fails after 30s,ISS-70321,API latency,Morris-Mcclain,NetConnect,SR-81363,PROD-11465
API timeout errors,API call fails after 30s,ISS-70322,Performance degradation,Kent-Logan,CloudEdge,SR-84075,PROD-11147
Login failures after upgrade,Average response time exceeds 10s,ISS-70323,API latency,Coleman-Welch,Insight360,SR-82702,PROD-11782
Dashboard not loading,Dashboard page crashes intermittently,ISS-70324,Performance degradation,Williamson Group,NetConnect,SR-82702,PROD-11860
Login failures after upgrade,API call fails after 30s,ISS-70325,Performance degradation,"Yang, Robinson and Ward",Insight360,SR-83109,PROD-11464
API timeout errors,Data not syncing between apps,ISS-70326,API latency,Hansen-Gordon,CloudEdge,SR-83797,PROD-11166
API timeout errors,Users unable to log in after v2.3 patch,ISS-70327,UI crash,Diaz Group,Insight360,SR-81524,PROD-11516
Missing data sync,API call fails after 30s,ISS-70328,Login issue post-upgrade,"Graham, Patterson and Simmons",DataSphere,SR-84009,PROD-11978
Missing data sync,Users unable to log in after v2.3 patch,ISS-70329,Login issue post-upgrade,Strickland Ltd,Insight360,SR-81512,PROD-11094
API timeout errors,Average response time exceeds 10s,ISS-70330,UI crash,Mccoy Inc,CloudEdge,SR-84482,PROD-11510
Slow system response,API call fails after 30s,ISS-70331,Sync issue,Kennedy-Campbell,Insight360,SR-80709,PROD-11226
Dashboard not loading,API call fails after 30s,ISS-70332,Performance degradation,"Wilson, Ramirez and Lester",NetConnect,SR-82463,PROD-11893
API timeout errors,Average response time exceeds 10s,ISS-70333,Performance degradation,Johnson and Sons,CloudEdge,SR-84032,PROD-11732
Slow system response,Data not syncing between apps,ISS-70334,Performance degradation,Turner and Sons,NetConnect,SR-84416,PROD-11283
Dashboard not loading,API call fails after 30s,ISS-70335,Login issue post-upgrade,"Jackson, Foster and Parker",Insight360,SR-84383,PROD-11548
API timeout errors,API call fails after 30s,ISS-70336,Performance degradation,Osborn-Sharp,Insight360,SR-83152,PROD-11516
Login failures after upgrade,API call fails after 30s,ISS-70337,Performance degradation,"Smith, Sweeney and Burch",CoreAnalytics,SR-83824,PROD-11048
API timeout errors,Data not syncing between apps,ISS-70338,API latency,Benitez and Sons,CoreAnalytics,SR-83852,PROD-11157
Missing data sync,Dashboard page crashes intermittently,ISS-70339,Login issue post-upgrade,Williamson-Kelly,CloudEdge,SR-83645,PROD-11573
Missing data sync,Users unable to log in after v2.3 patch,ISS-70340,Performance degradation,Wilson PLC,CloudEdge,SR-82224,PROD-11876
Login failures after upgrade,Average response time exceeds 10s,ISS-70341,API latency,"Duncan, Powers and Thompson",DataSphere,SR-84520,PROD-11943
API timeout errors,Average response time exceeds 10s,ISS-70342,UI crash,"Richardson, Smith and Rodriguez",CoreAnalytics,SR-82927,PROD-11402
Missing data sync,API call fails after 30s,ISS-70343,Login issue post-upgrade,"Miranda, Lee and Orozco",Insight360,SR-84678,PROD-11048
Login failures after upgrade,API call fails after 30s,ISS-70344,Sync issue,"Kline, Kaiser and Garrett",CoreAnalytics,SR-83273,PROD-11836
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70345,API latency,"Lopez, Bowen and Brown",Insight360,SR-82351,PROD-11588
Slow system response,Average response time exceeds 10s,ISS-70346,API latency,Thompson-Johnson,DataSphere,SR-84858,PROD-11066
API timeout errors,API call fails after 30s,ISS-70347,Sync issue,Green-Hoffman,CoreAnalytics,SR-80190,PROD-11143
API timeout errors,Average response time exceeds 10s,ISS-70348,UI crash,Watkins LLC,CoreAnalytics,SR-80123,PROD-11822
Dashboard not loading,API call fails after 30s,ISS-70349,UI crash,"Gordon, Dyer and Tran",DataSphere,SR-82336,PROD-11509
Missing data sync,API call fails after 30s,ISS-70350,Performance degradation,Moss LLC,Insight360,SR-84903,PROD-11890
Missing data sync,Data not syncing between apps,ISS-70351,UI crash,Williamson Group,NetConnect,SR-83661,PROD-11377
API timeout errors,Dashboard page crashes intermittently,ISS-70352,Sync issue,Jordan-Hamilton,CoreAnalytics,SR-84215,PROD-11198
Missing data sync,Dashboard page crashes intermittently,ISS-70353,UI crash,Alvarez Inc,NetConnect,SR-81856,PROD-11744
API timeout errors,Average response time exceeds 10s,ISS-70354,Login issue post-upgrade,Allen Group,NetConnect,SR-84195,PROD-11177
Dashboard not loading,Dashboard page crashes intermittently,ISS-70355,Login issue post-upgrade,Hunter-Smith,NetConnect,SR-80594,PROD-11151
Login failures after upgrade,Data not syncing between apps,ISS-70356,Performance degradation,"Smith, Melendez and Huff",Insight360,SR-82183,PROD-11744
API timeout errors,Data not syncing between apps,ISS-70357,Sync issue,Browning-Brooks,CoreAnalytics,SR-84180,PROD-11138
Slow system response,Dashboard page crashes intermittently,ISS-70358,UI crash,"Ashley, Garrett and Morrison",CloudEdge,SR-81859,PROD-11257
Slow system response,API call fails after 30s,ISS-70359,Performance degradation,Price and Sons,Insight360,SR-82204,PROD-11387
API timeout errors,Data not syncing between apps,ISS-70360,API latency,Warren and Sons,NetConnect,SR-84200,PROD-11916
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70361,API latency,Johnson and Sons,CloudEdge,SR-81280,PROD-11385
Missing data sync,Dashboard page crashes intermittently,ISS-70362,API latency,Lane-Garner,CloudEdge,SR-81451,PROD-11946
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70363,Performance degradation,Powers Ltd,DataSphere,SR-83625,PROD-11656
Slow system response,Average response time exceeds 10s,ISS-70364,Sync issue,Lane-Garner,DataSphere,SR-80468,PROD-11974
Missing data sync,Users unable to log in after v2.3 patch,ISS-70365,API latency,"Leblanc, Thompson and Sullivan",DataSphere,SR-81628,PROD-11482
Missing data sync,API call fails after 30s,ISS-70366,API latency,Perez PLC,Insight360,SR-84313,PROD-11477
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70367,UI crash,Silva and Sons,DataSphere,SR-82539,PROD-11353
Missing data sync,Average response time exceeds 10s,ISS-70368,Login issue post-upgrade,Beasley-Collins,CloudEdge,SR-80628,PROD-11563
Missing data sync,API call fails after 30s,ISS-70369,Performance degradation,Owens Group,DataSphere,SR-82176,PROD-11879
Login failures after upgrade,Average response time exceeds 10s,ISS-70370,UI crash,"Burke, Ward and Gibson",NetConnect,SR-84688,PROD-11028
Login failures after upgrade,Data not syncing between apps,ISS-70371,UI crash,"Lynch, Lynch and Mitchell",CloudEdge,SR-80283,PROD-11631
Dashboard not loading,Average response time exceeds 10s,ISS-70372,Performance degradation,Daniel LLC,CoreAnalytics,SR-84737,PROD-11759
Missing data sync,Users unable to log in after v2.3 patch,ISS-70373,Login issue post-upgrade,Haas-Morgan,CloudEdge,SR-83750,PROD-11824
API timeout errors,Dashboard page crashes intermittently,ISS-70374,Performance degradation,"Carter, Hughes and Brooks",CoreAnalytics,SR-81658,PROD-11661
Dashboard not loading,Average response time exceeds 10s,ISS-70375,Performance degradation,Kelly PLC,NetConnect,SR-81122,PROD-11335
Missing data sync,Average response time exceeds 10s,ISS-70376,UI crash,"Rhodes, Foster and Martinez",Insight360,SR-82411,PROD-11838
Missing data sync,Dashboard page crashes intermittently,ISS-70377,Performance degradation,Suarez LLC,CloudEdge,SR-80017,PROD-11488
Slow system response,API call fails after 30s,ISS-70378,API latency,"Morris, Cole and Flowers",NetConnect,SR-83480,PROD-11932
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70379,API latency,"Aguilar, Love and Graham",CoreAnalytics,SR-80950,PROD-11328
Dashboard not loading,Users unable to log in after v2.3 patch,ISS-70380,UI crash,Schroeder Group,DataSphere,SR-83082,PROD-11284
Missing data sync,Users unable to log in after v2.3 patch,ISS-70381,API latency,"Vaughan, Erickson and Navarro",NetConnect,SR-81235,PROD-11727
API timeout errors,Data not syncing between apps,ISS-70382,Performance degradation,Cole PLC,DataSphere,SR-80430,PROD-11022
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70383,API latency,Cunningham PLC,NetConnect,SR-83398,PROD-11301
Missing data sync,Dashboard page crashes intermittently,ISS-70384,API latency,"Bartlett, Ross and Reynolds",CloudEdge,SR-83908,PROD-11629
Slow system response,Average response time exceeds 10s,ISS-70385,Login issue post-upgrade,"Hobbs, Carlson and Hughes",DataSphere,SR-80535,PROD-11784
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70386,API latency,"Stein, Randolph and Carter",DataSphere,SR-82363,PROD-11598
Dashboard not loading,Data not syncing between apps,ISS-70387,UI crash,Watkins-Freeman,Insight360,SR-82670,PROD-11819
Missing data sync,Data not syncing between apps,ISS-70388,API latency,"Santiago, Hall and Lara",CoreAnalytics,SR-82254,PROD-11549
API timeout errors,API call fails after 30s,ISS-70389,API latency,"Robinson, Shaw and Acosta",Insight360,SR-80185,PROD-11240
API timeout errors,Average response time exceeds 10s,ISS-70390,Performance degradation,Walton-Hoover,DataSphere,SR-80339,PROD-11465
Dashboard not loading,API call fails after 30s,ISS-70391,UI crash,Boone-Salinas,CoreAnalytics,SR-82696,PROD-11099
Dashboard not loading,Data not syncing between apps,ISS-70392,Performance degradation,Gibson Group,CloudEdge,SR-84032,PROD-11254
Login failures after upgrade,Data not syncing between apps,ISS-70393,Sync issue,"Williams, White and Boyd",CloudEdge,SR-81092,PROD-11373
Dashboard not loading,Average response time exceeds 10s,ISS-70394,UI crash,Rodriguez-Stewart,CoreAnalytics,SR-82933,PROD-11907
Missing data sync,Average response time exceeds 10s,ISS-70395,Login issue post-upgrade,Davis Ltd,DataSphere,SR-80912,PROD-11062
Missing data sync,Users unable to log in after v2.3 patch,ISS-70396,Performance degradation,"Chaney, Arellano and Miller",NetConnect,SR-82871,PROD-11643
Login failures after upgrade,Data not syncing between apps,ISS-70397,API latency,Gordon PLC,CoreAnalytics,SR-80198,PROD-11550
Slow system response,Users unable to log in after v2.3 patch,ISS-70398,UI crash,"Ward, Woods and Rasmussen",CloudEdge,SR-82413,PROD-11132
Login failures after upgrade,Average response time exceeds 10s,ISS-70399,API latency,Patterson-Dennis,DataSphere,SR-81296,PROD-11153
Dashboard not loading,API call fails after 30s,ISS-70400,Sync issue,Norris-Riley,Insight360,SR-84103,PROD-11044
Dashboard not loading,Dashboard page crashes intermittently,ISS-70401,Sync issue,"Franklin, Martin and White",NetConnect,SR-81965,PROD-11661
Dashboard not loading,API call fails after 30s,ISS-70402,Login issue post-upgrade,"Terry, Robertson and Pruitt",CloudEdge,SR-80878,PROD-11208
Dashboard not loading,Dashboard page crashes intermittently,ISS-70403,API latency,"Jennings, Lester and Brooks",DataSphere,SR-84494,PROD-11690
Login failures after upgrade,API call fails after 30s,ISS-70404,Sync issue,Sosa PLC,Insight360,SR-83338,PROD-11862
Missing data sync,Average response time exceeds 10s,ISS-70405,Performance degradation,"Stephens, Smith and Ballard",Insight360,SR-81282,PROD-11445
Missing data sync,Data not syncing between apps,ISS-70406,Performance degradation,"Mora, York and Johnson",CoreAnalytics,SR-83701,PROD-11492
Missing data sync,Average response time exceeds 10s,ISS-70407,Performance degradation,Mitchell-Mendez,NetConnect,SR-84815,PROD-11533
API timeout errors,Dashboard page crashes intermittently,ISS-70408,Performance degradation,Ward PLC,CloudEdge,SR-83512,PROD-11225
Dashboard not loading,Data not syncing between apps,ISS-70409,Performance degradation,English Group,NetConnect,SR-80874,PROD-11102
API timeout errors,Users unable to log in after v2.3 patch,ISS-70410,API latency,York-Ross,NetConnect,SR-80967,PROD-11372
Slow system response,Users unable to log in after v2.3 patch,ISS-70411,Performance degradation,Williams PLC,DataSphere,SR-81114,PROD-11899
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70412,UI crash,"Johnson, Ortega and Solomon",Insight360,SR-81037,PROD-11416
Login failures after upgrade,API call fails after 30s,ISS-70413,UI crash,Martin-Alvarado,Insight360,SR-84626,PROD-11358
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70414,API latency,Moreno and Sons,DataSphere,SR-80179,PROD-11310
Missing data sync,Average response time exceeds 10s,ISS-70415,Performance degradation,"Blair, Carey and Henderson",CloudEdge,SR-81042,PROD-11458
Missing data sync,Users unable to log in after v2.3 patch,ISS-70416,UI crash,"Ramos, Young and Olson",CloudEdge,SR-80526,PROD-11737
Slow system response,Average response time exceeds 10s,ISS-70417,UI crash,"Gonzales, Allen and Carpenter",DataSphere,SR-80739,PROD-11977
Slow system response,Users unable to log in after v2.3 patch,ISS-70418,Performance degradation,Jackson-Sherman,Insight360,SR-82319,PROD-11940
Slow system response,API call fails after 30s,ISS-70419,Sync issue,Howell-Lawson,CloudEdge,SR-83626,PROD-11811
Dashboard not loading,Dashboard page crashes intermittently,ISS-70420,Performance degradation,Riggs-Hawkins,NetConnect,SR-84372,PROD-11631
Login failures after upgrade,Data not syncing between apps,ISS-70421,API latency,Brown-Lowe,CoreAnalytics,SR-81538,PROD-11414
API timeout errors,API call fails after 30s,ISS-70422,Performance degradation,Wilson PLC,NetConnect,SR-80422,PROD-11564
Missing data sync,Average response time exceeds 10s,ISS-70423,API latency,Bartlett PLC,CoreAnalytics,SR-84796,PROD-11372
Slow system response,Users unable to log in after v2.3 patch,ISS-70424,Sync issue,Rush LLC,CloudEdge,SR-80733,PROD-11335
Login failures after upgrade,Data not syncing between apps,ISS-70425,Performance degradation,Bennett-Costa,CloudEdge,SR-81331,PROD-11108
Login failures after upgrade,Users unable to log in after v2.3 patch,ISS-70426,Performance degradation,"Daniels, Hubbard and Sweeney",CoreAnalytics,SR-81915,PROD-11703
Missing data sync,API call fails after 30s,ISS-70427,API latency,Sanchez and Sons,DataSphere,SR-84623,PROD-11079
Dashboard not loading,Data not syncing between apps,ISS-70428,API latency,Ellison-Coleman,NetConnect,SR-82570,PROD-11754
API timeout errors,Dashboard page crashes intermittently,ISS-70429,Sync issue,Walton-Hoover,DataSphere,SR-81919,PROD-11473
Slow system response,Users unable to log in after v2.3 patch,ISS-70430,Performance degradation,"Hicks, Pruitt and Cole",CloudEdge,SR-84341,PROD-11833
Dashboard not loading,Average response time exceeds 10s,ISS-70431,UI crash,"Aguirre, Schroeder and King",Insight360,SR-81819,PROD-11541
Login failures after upgrade,Average response time exceeds 10s,ISS-70432,Sync issue,Allen-Miller,CloudEdge,SR-80101,PROD-11421
Slow system response,Data not syncing between apps,ISS-70433,API latency,Gross Inc,CoreAnalytics,SR-82671,PROD-11573
Login failures after upgrade,Dashboard page crashes intermittently,ISS-70434,Performance degradation,Kidd Ltd,Insight360,SR-83376,PROD-11746
Slow system response,Data not syncing between apps,ISS-70435,API latency,"Gonzalez, Matthews and Hunter",CoreAnalytics,SR-83205,PROD-11195
Slow system response,Data not syncing between apps,ISS-70436,UI crash,Wilson-Long,Insight360,SR-84534,PROD-11647
Dashboard not loading,Data not syncing between apps,ISS-70437,UI crash,"Wilkins, Odom and Harvey",DataSphere,SR-82479,PROD-11015
Dashboard not loading,Dashboard page crashes intermittently,ISS-70438,API latency,"Blair, Carey and Henderson",NetConnect,SR-83717,PROD-11108
