Logistics ID,Product Name,Order Date,Order Status,Fulfilment Date,Delivery Date,Delivery Status,Consignment Location,Cust_ID,Od_Contract_ID
LOG-80206,SmartEdge Router,2025-06-05,Shipped,2025-01-06,2025-01-28,Returned,Berlin Hub,CUST-10453,ORD-44236
LOG-80207,CloudHub Gateway,2025-03-04,Shipped,2025-07-19,2025-07-19,Delivered,Bangalore WH,CUST-10820,ORD-40696
LOG-80208,Nova Firewall,2025-02-10,Shipped,2025-01-03,2025-03-10,Pending,London DC,CUST-10858,ORD-42608
LOG-80209,SmartEdge Router,2025-06-01,Shipped,2025-06-18,2025-02-09,Returned,New York DC,CUST-10690,ORD-43750
LOG-80210,StreamLine AP,2025-01-13,Confirmed,2025-08-25,2025-03-02,Out for Delivery,London DC,CUST-10006,ORD-41843
LOG-80211,VisionX Switch,2025-05-25,Cancelled,2025-08-18,2025-03-24,Delivered,New York DC,CUST-10215,ORD-41012
LOG-80212,Nova Firewall,2025-08-20,Cancelled,2025-03-17,2025-07-25,Pending,Singapore WH,CUST-10382,ORD-42980
LOG-80213,CloudHub Gateway,2025-01-07,Cancelled,2025-05-22,2025-03-01,In Transit,Berlin Hub,CUST-10673,ORD-43638
LOG-80214,Nova Firewall,2025-01-22,Shipped,2025-06-08,2025-06-22,In Transit,London DC,CUST-10177,ORD-44401
LOG-80215,SmartEdge Router,2025-01-16,Cancelled,2025-01-29,2025-04-14,Returned,London DC,CUST-10201,ORD-44135
LOG-80216,SmartEdge Router,2025-06-07,Cancelled,2025-04-24,2025-07-31,Pending,Singapore WH,CUST-10555,ORD-43488
LOG-80217,StreamLine AP,2025-08-22,Delivered,2025-07-10,2025-01-28,Pending,London DC,CUST-10380,ORD-42181
LOG-80218,Nova Firewall,2025-07-04,Delivered,2025-02-28,2025-04-28,Pending,Bangalore WH,CUST-10851,ORD-41916
LOG-80219,Nova Firewall,2025-06-09,In Progress,2025-07-07,2025-07-12,Out for Delivery,New York DC,CUST-10233,ORD-43815
LOG-80220,Nova Firewall,2025-06-10,Shipped,2025-03-11,2025-07-02,Returned,Bangalore WH,CUST-10127,ORD-43647
LOG-80221,VisionX Switch,2025-01-12,Delivered,2025-05-07,2025-03-05,Out for Delivery,Berlin Hub,CUST-10691,ORD-40376
LOG-80222,VisionX Switch,2025-06-10,Shipped,2025-06-11,2025-03-09,Out for Delivery,Berlin Hub,CUST-10749,ORD-40157
LOG-80223,StreamLine AP,2025-01-29,Delivered,2025-08-02,2025-02-25,Pending,London DC,CUST-10251,ORD-40751
LOG-80224,VisionX Switch,2025-08-31,Delivered,2025-02-05,2025-07-01,Delivered,London DC,CUST-10125,ORD-42672
LOG-80225,StreamLine AP,2025-02-15,Delivered,2025-08-10,2025-03-13,Delivered,Berlin Hub,CUST-10164,ORD-42601
LOG-80226,Nova Firewall,2025-02-17,In Progress,2025-08-30,2025-05-16,Pending,London DC,CUST-10475,ORD-42133
LOG-80227,SmartEdge Router,2025-04-16,In Progress,2025-02-13,2025-01-06,Out for Delivery,London DC,CUST-10470,ORD-43795
LOG-80228,StreamLine AP,2025-04-25,In Progress,2025-02-08,2025-06-24,Delivered,Bangalore WH,CUST-10634,ORD-41203
LOG-80229,SmartEdge Router,2025-02-18,Confirmed,2025-08-01,2025-06-28,Pending,London DC,CUST-10162,ORD-41081
LOG-80230,VisionX Switch,2025-01-10,Confirmed,2025-05-30,2025-02-23,Pending,Singapore WH,CUST-10677,ORD-41172
LOG-80231,Nova Firewall,2025-07-01,In Progress,2025-02-05,2025-04-11,Pending,London DC,CUST-10615,ORD-40897
LOG-80232,SmartEdge Router,2025-06-25,Cancelled,2025-07-17,2025-06-24,Pending,Bangalore WH,CUST-10869,ORD-40664
LOG-80233,VisionX Switch,2025-02-10,Cancelled,2025-05-09,2025-07-06,Pending,New York DC,CUST-10380,ORD-43791
LOG-80234,CloudHub Gateway,2025-03-16,Confirmed,2025-08-01,2025-03-06,Returned,Berlin Hub,CUST-10923,ORD-43112
LOG-80235,Nova Firewall,2025-03-18,Confirmed,2025-04-01,2025-08-16,Pending,London DC,CUST-10201,ORD-41314
LOG-80236,VisionX Switch,2025-04-18,Shipped,2025-04-21,2025-08-20,Pending,New York DC,CUST-10566,ORD-44666
LOG-80237,Nova Firewall,2025-02-10,Shipped,2025-01-11,2025-02-16,Out for Delivery,London DC,CUST-10369,ORD-43919
LOG-80238,SmartEdge Router,2025-01-26,Cancelled,2025-03-18,2025-05-29,Pending,Berlin Hub,CUST-10433,ORD-42089
LOG-80239,SmartEdge Router,2025-05-28,Delivered,2025-08-13,2025-03-28,Delivered,Bangalore WH,CUST-10201,ORD-42828
LOG-80240,Nova Firewall,2025-04-05,In Progress,2025-07-27,2025-04-18,Pending,Berlin Hub,CUST-10848,ORD-44826
LOG-80241,Nova Firewall,2025-04-11,In Progress,2025-01-20,2025-08-30,Delivered,Singapore WH,CUST-10387,ORD-44222
LOG-80242,SmartEdge Router,2025-04-07,Cancelled,2025-05-18,2025-04-18,In Transit,Singapore WH,CUST-10775,ORD-43699
LOG-80243,SmartEdge Router,2025-02-28,Shipped,2025-04-27,2025-02-14,In Transit,Berlin Hub,CUST-10479,ORD-44280
LOG-80244,CloudHub Gateway,2025-04-22,Confirmed,2025-01-10,2025-05-18,Returned,London DC,CUST-10099,ORD-41178
LOG-80245,VisionX Switch,2025-06-09,In Progress,2025-01-01,2025-03-09,In Transit,Singapore WH,CUST-10438,ORD-40901
LOG-80246,CloudHub Gateway,2025-07-08,In Progress,2025-04-30,2025-06-26,Out for Delivery,Berlin Hub,CUST-10516,ORD-44106
LOG-80247,CloudHub Gateway,2025-05-26,In Progress,2025-02-12,2025-07-26,In Transit,London DC,CUST-10286,ORD-44887
LOG-80248,VisionX Switch,2025-08-31,Cancelled,2025-06-13,2025-07-09,Pending,Singapore WH,CUST-10145,ORD-44902
LOG-80249,Nova Firewall,2025-03-25,Shipped,2025-02-27,2025-02-08,Out for Delivery,London DC,CUST-10428,ORD-41239
LOG-80250,Nova Firewall,2025-06-11,Delivered,2025-06-20,2025-02-02,Out for Delivery,Singapore WH,CUST-10433,ORD-41920
LOG-80251,SmartEdge Router,2025-06-20,Cancelled,2025-06-19,2025-03-15,Delivered,London DC,CUST-10038,ORD-40319
LOG-80252,CloudHub Gateway,2025-01-05,Shipped,2025-03-30,2025-01-08,Returned,Singapore WH,CUST-10763,ORD-43885
LOG-80253,VisionX Switch,2025-05-14,In Progress,2025-06-14,2025-08-19,Pending,Berlin Hub,CUST-10493,ORD-44732
LOG-80254,StreamLine AP,2025-06-04,Cancelled,2025-02-01,2025-04-26,In Transit,Berlin Hub,CUST-10487,ORD-42880
LOG-80255,SmartEdge Router,2025-02-18,Confirmed,2025-02-01,2025-07-28,Pending,Bangalore WH,CUST-10504,ORD-40609
LOG-80256,StreamLine AP,2025-07-29,Confirmed,2025-08-12,2025-04-28,Pending,New York DC,CUST-10252,ORD-40140
LOG-80257,CloudHub Gateway,2025-04-26,Confirmed,2025-04-10,2025-07-14,Pending,New York DC,CUST-10672,ORD-42752
LOG-80258,VisionX Switch,2025-05-21,Shipped,2025-04-08,2025-01-09,Delivered,Singapore WH,CUST-10475,ORD-44983
LOG-80259,Nova Firewall,2025-07-21,Delivered,2025-08-30,2025-02-22,Delivered,Bangalore WH,CUST-10853,ORD-40833
LOG-80260,SmartEdge Router,2025-05-15,Cancelled,2025-08-08,2025-07-22,Pending,Berlin Hub,CUST-10117,ORD-41050
LOG-80261,SmartEdge Router,2025-07-29,Delivered,2025-08-20,2025-08-24,Out for Delivery,London DC,CUST-10577,ORD-40520
LOG-80262,SmartEdge Router,2025-02-03,Confirmed,2025-08-14,2025-05-21,Out for Delivery,New York DC,CUST-10775,ORD-42362
LOG-80263,CloudHub Gateway,2025-04-07,In Progress,2025-08-14,2025-01-29,In Transit,New York DC,CUST-10984,ORD-44942
LOG-80264,StreamLine AP,2025-03-31,Confirmed,2025-03-01,2025-02-02,In Transit,London DC,CUST-10490,ORD-43989
LOG-80265,StreamLine AP,2025-08-27,Confirmed,2025-04-22,2025-05-08,In Transit,London DC,CUST-10287,ORD-40430
LOG-80266,StreamLine AP,2025-02-13,In Progress,2025-07-21,2025-08-19,Delivered,New York DC,CUST-10963,ORD-42799
LOG-80267,Nova Firewall,2025-01-26,Cancelled,2025-03-27,2025-06-03,Out for Delivery,London DC,CUST-10918,ORD-41926
LOG-80268,SmartEdge Router,2025-02-26,Confirmed,2025-01-19,2025-07-01,Out for Delivery,Bangalore WH,CUST-10867,ORD-41241
LOG-80269,StreamLine AP,2025-07-10,Cancelled,2025-08-18,2025-07-13,Pending,Singapore WH,CUST-10203,ORD-40402
LOG-80270,CloudHub Gateway,2025-05-03,Confirmed,2025-08-06,2025-05-25,In Transit,New York DC,CUST-10238,ORD-41387
LOG-80271,Nova Firewall,2025-05-18,Confirmed,2025-04-04,2025-05-23,Delivered,Berlin Hub,CUST-10189,ORD-42201
LOG-80272,StreamLine AP,2025-08-03,Shipped,2025-06-05,2025-01-22,Pending,Berlin Hub,CUST-10766,ORD-43617
LOG-80273,VisionX Switch,2025-04-11,Delivered,2025-04-10,2025-01-26,Delivered,Singapore WH,CUST-10453,ORD-42202
LOG-80274,CloudHub Gateway,2025-01-15,In Progress,2025-07-15,2025-08-16,Returned,Berlin Hub,CUST-10971,ORD-44179
LOG-80275,CloudHub Gateway,2025-08-15,In Progress,2025-08-19,2025-01-27,In Transit,London DC,CUST-10946,ORD-43288
LOG-80276,Nova Firewall,2025-07-29,Confirmed,2025-02-11,2025-08-18,Pending,London DC,CUST-10040,ORD-40637
LOG-80277,Nova Firewall,2025-03-11,In Progress,2025-05-24,2025-05-04,Delivered,London DC,CUST-10014,ORD-44929
LOG-80278,SmartEdge Router,2025-06-15,Shipped,2025-02-02,2025-05-02,Pending,Singapore WH,CUST-10703,ORD-44832
LOG-80279,CloudHub Gateway,2025-07-17,Delivered,2025-05-11,2025-06-28,Delivered,Singapore WH,CUST-10176,ORD-44440
LOG-80280,CloudHub Gateway,2025-03-29,Confirmed,2025-03-23,2025-04-23,Delivered,New York DC,CUST-10590,ORD-43163
LOG-80281,VisionX Switch,2025-02-01,Shipped,2025-07-19,2025-06-28,In Transit,Berlin Hub,CUST-10159,ORD-43544
LOG-80282,StreamLine AP,2025-06-17,In Progress,2025-06-30,2025-01-25,Delivered,Bangalore WH,CUST-10253,ORD-43338
LOG-80283,Nova Firewall,2025-01-14,Cancelled,2025-03-13,2025-06-11,Pending,London DC,CUST-10323,ORD-41425
LOG-80284,VisionX Switch,2025-03-30,Confirmed,2025-08-12,2025-02-27,Out for Delivery,New York DC,CUST-10439,ORD-41756
LOG-80285,CloudHub Gateway,2025-03-05,Shipped,2025-07-19,2025-01-04,Out for Delivery,New York DC,CUST-10607,ORD-42197
LOG-80286,Nova Firewall,2025-07-31,Cancelled,2025-04-25,2025-02-20,Pending,Singapore WH,CUST-10392,ORD-43320
LOG-80287,StreamLine AP,2025-01-06,Confirmed,2025-03-29,2025-07-20,Pending,London DC,CUST-10524,ORD-44158
LOG-80288,StreamLine AP,2025-05-20,Shipped,2025-07-13,2025-08-13,In Transit,London DC,CUST-10128,ORD-40896
LOG-80289,StreamLine AP,2025-02-07,Cancelled,2025-06-24,2025-08-30,Delivered,London DC,CUST-10118,ORD-40407
LOG-80290,Nova Firewall,2025-01-04,Confirmed,2025-02-10,2025-04-14,In Transit,New York DC,CUST-10093,ORD-43953
LOG-80291,StreamLine AP,2025-08-03,Cancelled,2025-06-30,2025-05-06,Delivered,Singapore WH,CUST-10232,ORD-43263
LOG-80292,StreamLine AP,2025-07-18,Delivered,2025-02-01,2025-06-05,Pending,London DC,CUST-10833,ORD-42500
LOG-80293,SmartEdge Router,2025-05-30,In Progress,2025-04-25,2025-02-07,Delivered,London DC,CUST-10837,ORD-41337
LOG-80294,VisionX Switch,2025-08-03,Delivered,2025-06-29,2025-03-17,Delivered,Berlin Hub,CUST-10641,ORD-41617
LOG-80295,StreamLine AP,2025-01-25,In Progress,2025-01-13,2025-04-07,Returned,New York DC,CUST-10239,ORD-40927
LOG-80296,SmartEdge Router,2025-04-07,Delivered,2025-05-24,2025-02-12,Out for Delivery,New York DC,CUST-10523,ORD-41669
LOG-80297,VisionX Switch,2025-06-12,In Progress,2025-08-17,2025-05-26,Out for Delivery,Singapore WH,CUST-10430,ORD-42719
LOG-80298,StreamLine AP,2025-05-04,In Progress,2025-07-26,2025-03-14,Out for Delivery,New York DC,CUST-10129,ORD-43211
LOG-80299,StreamLine AP,2025-08-30,Confirmed,2025-01-15,2025-07-19,In Transit,Berlin Hub,CUST-10093,ORD-44105
LOG-80300,CloudHub Gateway,2025-08-15,Delivered,2025-05-27,2025-01-26,Delivered,Bangalore WH,CUST-10445,ORD-43326
LOG-80301,SmartEdge Router,2025-05-28,In Progress,2025-05-21,2025-03-06,Delivered,New York DC,CUST-10031,ORD-42538
LOG-80302,SmartEdge Router,2025-01-24,Delivered,2025-08-02,2025-02-26,Delivered,London DC,CUST-10531,ORD-43813
LOG-80303,VisionX Switch,2025-03-18,Delivered,2025-04-08,2025-06-02,Delivered,Singapore WH,CUST-10880,ORD-42505
LOG-80304,SmartEdge Router,2025-01-01,Confirmed,2025-01-13,2025-06-07,In Transit,London DC,CUST-10070,ORD-43304
LOG-80305,StreamLine AP,2025-08-15,Confirmed,2025-08-14,2025-08-24,Out for Delivery,Singapore WH,CUST-10499,ORD-41320
LOG-80306,VisionX Switch,2025-01-27,Confirmed,2025-07-13,2025-03-22,Delivered,Bangalore WH,CUST-10507,ORD-43567
LOG-80307,StreamLine AP,2025-05-13,Delivered,2025-05-22,2025-04-10,In Transit,Singapore WH,CUST-10927,ORD-44383
LOG-80308,CloudHub Gateway,2025-04-15,Shipped,2025-03-26,2025-07-03,Pending,London DC,CUST-10022,ORD-41390
LOG-80309,Nova Firewall,2025-08-18,In Progress,2025-04-01,2025-07-02,Pending,Berlin Hub,CUST-10136,ORD-41407
LOG-80310,Nova Firewall,2025-02-02,Confirmed,2025-02-14,2025-07-12,Returned,Bangalore WH,CUST-10539,ORD-40808
LOG-80311,SmartEdge Router,2025-01-22,In Progress,2025-08-01,2025-06-12,Delivered,Singapore WH,CUST-10397,ORD-42551
LOG-80312,Nova Firewall,2025-03-01,Cancelled,2025-02-15,2025-07-26,Returned,New York DC,CUST-10926,ORD-42159
LOG-80313,VisionX Switch,2025-07-19,In Progress,2025-03-25,2025-07-27,Pending,London DC,CUST-10495,ORD-41177
LOG-80314,StreamLine AP,2025-01-03,Cancelled,2025-01-20,2025-08-31,In Transit,Berlin Hub,CUST-10434,ORD-41011
LOG-80315,Nova Firewall,2025-01-03,In Progress,2025-08-30,2025-06-14,Out for Delivery,Bangalore WH,CUST-10060,ORD-40723
LOG-80316,CloudHub Gateway,2025-01-31,Shipped,2025-03-16,2025-07-11,Delivered,New York DC,CUST-10164,ORD-44192
LOG-80317,CloudHub Gateway,2025-05-01,Shipped,2025-05-09,2025-07-13,Delivered,London DC,CUST-10194,ORD-41248
LOG-80318,SmartEdge Router,2025-02-22,Confirmed,2025-06-29,2025-06-19,In Transit,Bangalore WH,CUST-10803,ORD-43163
LOG-80319,VisionX Switch,2025-04-14,Cancelled,2025-02-11,2025-06-02,Delivered,Berlin Hub,CUST-10723,ORD-44060
LOG-80320,CloudHub Gateway,2025-01-25,Cancelled,2025-08-11,2025-08-28,Out for Delivery,London DC,CUST-10550,ORD-43358
LOG-80321,SmartEdge Router,2025-01-09,Confirmed,2025-04-21,2025-04-08,In Transit,London DC,CUST-10572,ORD-43225
LOG-80322,CloudHub Gateway,2025-04-23,Cancelled,2025-03-09,2025-07-06,In Transit,Bangalore WH,CUST-10819,ORD-41689
LOG-80323,CloudHub Gateway,2025-02-14,Confirmed,2025-04-10,2025-02-10,Pending,London DC,CUST-10349,ORD-40857
LOG-80324,SmartEdge Router,2025-06-12,Shipped,2025-07-01,2025-01-21,Out for Delivery,Bangalore WH,CUST-10255,ORD-42352
LOG-80325,CloudHub Gateway,2025-03-11,Delivered,2025-03-01,2025-05-25,In Transit,London DC,CUST-10345,ORD-41349
LOG-80326,VisionX Switch,2025-01-26,In Progress,2025-08-21,2025-02-23,Returned,Bangalore WH,CUST-10423,ORD-42464
LOG-80327,SmartEdge Router,2025-01-28,Shipped,2025-08-19,2025-05-13,Returned,London DC,CUST-10856,ORD-44699
LOG-80328,StreamLine AP,2025-06-03,Delivered,2025-03-12,2025-03-21,Delivered,Berlin Hub,CUST-10418,ORD-41221
LOG-80329,SmartEdge Router,2025-06-15,Shipped,2025-05-02,2025-07-25,Delivered,Singapore WH,CUST-10833,ORD-43568
LOG-80330,VisionX Switch,2025-05-24,Cancelled,2025-06-14,2025-01-30,Delivered,Singapore WH,CUST-10185,ORD-40364
LOG-80331,Nova Firewall,2025-04-06,Confirmed,2025-01-16,2025-05-17,Returned,Singapore WH,CUST-10175,ORD-40372
LOG-80332,SmartEdge Router,2025-02-04,Confirmed,2025-05-16,2025-03-02,Pending,London DC,CUST-10712,ORD-44456
LOG-80333,CloudHub Gateway,2025-06-16,Delivered,2025-03-18,2025-03-06,Delivered,New York DC,CUST-10654,ORD-40841
LOG-80334,Nova Firewall,2025-06-06,Delivered,2025-03-18,2025-01-08,Delivered,New York DC,CUST-10320,ORD-42418
LOG-80335,StreamLine AP,2025-02-11,Shipped,2025-07-17,2025-01-19,Pending,Bangalore WH,CUST-10256,ORD-43710
LOG-80336,Nova Firewall,2025-04-03,In Progress,2025-05-23,2025-04-26,Pending,Berlin Hub,CUST-10892,ORD-43415
LOG-80337,Nova Firewall,2025-04-08,Cancelled,2025-04-22,2025-05-12,Out for Delivery,Singapore WH,CUST-10863,ORD-44130
LOG-80338,Nova Firewall,2025-06-04,Confirmed,2025-02-18,2025-08-10,Returned,New York DC,CUST-10676,ORD-41777
LOG-80339,CloudHub Gateway,2025-05-21,In Progress,2025-03-21,2025-05-26,Pending,London DC,CUST-10510,ORD-42565
LOG-80340,VisionX Switch,2025-06-21,Delivered,2025-04-22,2025-04-28,Out for Delivery,Singapore WH,CUST-10173,ORD-40969
LOG-80341,VisionX Switch,2025-02-26,Confirmed,2025-02-11,2025-08-09,Returned,Berlin Hub,CUST-10588,ORD-40882
LOG-80342,SmartEdge Router,2025-05-20,Cancelled,2025-06-10,2025-04-02,Returned,Singapore WH,CUST-10175,ORD-42251
LOG-80343,CloudHub Gateway,2025-05-26,Cancelled,2025-04-05,2025-07-16,In Transit,Bangalore WH,CUST-10279,ORD-43824
LOG-80344,StreamLine AP,2025-04-04,Confirmed,2025-04-09,2025-05-03,Pending,Bangalore WH,CUST-10806,ORD-41998
LOG-80345,VisionX Switch,2025-06-10,Confirmed,2025-08-11,2025-01-09,Out for Delivery,Singapore WH,CUST-10412,ORD-41069
LOG-80346,SmartEdge Router,2025-07-31,Shipped,2025-04-01,2025-02-01,Delivered,New York DC,CUST-10262,ORD-43744
LOG-80347,CloudHub Gateway,2025-06-23,Confirmed,2025-07-20,2025-03-13,Delivered,Singapore WH,CUST-10342,ORD-40160
LOG-80348,CloudHub Gateway,2025-07-23,Delivered,2025-02-10,2025-05-26,Out for Delivery,Berlin Hub,CUST-10210,ORD-42818
LOG-80349,StreamLine AP,2025-04-05,Delivered,2025-02-16,2025-04-14,Returned,Bangalore WH,CUST-10794,ORD-43015
LOG-80350,SmartEdge Router,2025-07-31,Shipped,2025-02-24,2025-01-18,In Transit,London DC,CUST-10202,ORD-43193
LOG-80351,SmartEdge Router,2025-06-15,Delivered,2025-05-06,2025-07-22,Pending,London DC,CUST-10265,ORD-44051
LOG-80352,StreamLine AP,2025-06-18,Cancelled,2025-01-19,2025-07-13,Delivered,New York DC,CUST-10870,ORD-43017
LOG-80353,SmartEdge Router,2025-03-29,Delivered,2025-04-29,2025-03-03,Delivered,Singapore WH,CUST-10558,ORD-40879
LOG-80354,VisionX Switch,2025-08-03,In Progress,2025-01-26,2025-07-25,Pending,Singapore WH,CUST-10968,ORD-43462
LOG-80355,SmartEdge Router,2025-06-13,Shipped,2025-07-13,2025-01-06,In Transit,Singapore WH,CUST-10347,ORD-41795
LOG-80356,CloudHub Gateway,2025-01-08,Cancelled,2025-01-22,2025-06-09,Returned,Bangalore WH,CUST-10247,ORD-42063
LOG-80357,SmartEdge Router,2025-04-07,In Progress,2025-08-30,2025-06-05,Returned,London DC,CUST-10620,ORD-42266
LOG-80358,Nova Firewall,2025-01-08,In Progress,2025-03-16,2025-05-17,In Transit,Singapore WH,CUST-10984,ORD-42475
LOG-80359,StreamLine AP,2025-08-04,In Progress,2025-02-05,2025-03-24,Out for Delivery,New York DC,CUST-10815,ORD-41286
LOG-80360,Nova Firewall,2025-03-04,Delivered,2025-03-07,2025-07-03,In Transit,Singapore WH,CUST-10697,ORD-42363
LOG-80361,VisionX Switch,2025-04-16,In Progress,2025-05-09,2025-07-22,Delivered,New York DC,CUST-10094,ORD-43987
LOG-80362,CloudHub Gateway,2025-05-25,Confirmed,2025-02-22,2025-07-06,Out for Delivery,New York DC,CUST-10983,ORD-41569
LOG-80363,VisionX Switch,2025-07-24,Delivered,2025-03-26,2025-07-05,Out for Delivery,Singapore WH,CUST-10013,ORD-43911
LOG-80364,VisionX Switch,2025-02-14,Cancelled,2025-05-08,2025-04-19,Pending,London DC,CUST-10731,ORD-44697
LOG-80365,StreamLine AP,2025-07-07,Confirmed,2025-04-30,2025-03-19,In Transit,Bangalore WH,CUST-10947,ORD-42907
LOG-80366,Nova Firewall,2025-08-20,In Progress,2025-06-29,2025-05-31,Returned,Bangalore WH,CUST-10834,ORD-43820
LOG-80367,SmartEdge Router,2025-06-04,In Progress,2025-08-21,2025-06-18,Delivered,Bangalore WH,CUST-10123,ORD-41250
LOG-80368,CloudHub Gateway,2025-02-24,Confirmed,2025-04-29,2025-01-22,Out for Delivery,Bangalore WH,CUST-10144,ORD-43458
LOG-80369,VisionX Switch,2025-08-10,Delivered,2025-08-30,2025-08-30,In Transit,Singapore WH,CUST-10884,ORD-43542
LOG-80370,StreamLine AP,2025-05-15,Cancelled,2025-08-14,2025-02-28,Returned,London DC,CUST-10235,ORD-44350
LOG-80371,VisionX Switch,2025-01-29,Shipped,2025-04-15,2025-04-28,In Transit,New York DC,CUST-10752,ORD-44793
LOG-80372,SmartEdge Router,2025-03-13,Cancelled,2025-08-03,2025-04-09,Out for Delivery,London DC,CUST-10974,ORD-42323
LOG-80373,CloudHub Gateway,2025-06-27,In Progress,2025-05-09,2025-05-13,Returned,Bangalore WH,CUST-10003,ORD-43541
LOG-80374,Nova Firewall,2025-07-17,Confirmed,2025-08-04,2025-02-03,Delivered,New York DC,CUST-10526,ORD-42458
LOG-80375,VisionX Switch,2025-03-18,Delivered,2025-03-19,2025-08-13,Delivered,Bangalore WH,CUST-10640,ORD-42342
LOG-80376,SmartEdge Router,2025-05-16,Cancelled,2025-06-21,2025-01-19,Out for Delivery,New York DC,CUST-10973,ORD-40139
LOG-80377,CloudHub Gateway,2025-04-10,Cancelled,2025-05-08,2025-01-20,In Transit,New York DC,CUST-10146,ORD-40662
LOG-80378,VisionX Switch,2025-06-17,Delivered,2025-02-04,2025-04-26,Delivered,Singapore WH,CUST-10361,ORD-42188
LOG-80379,CloudHub Gateway,2025-06-24,Delivered,2025-05-23,2025-04-19,Pending,London DC,CUST-10799,ORD-44923
LOG-80380,Nova Firewall,2025-03-29,Delivered,2025-08-28,2025-07-08,Out for Delivery,Berlin Hub,CUST-10714,ORD-44023
LOG-80381,SmartEdge Router,2025-07-20,Shipped,2025-02-22,2025-02-20,Pending,Bangalore WH,CUST-10420,ORD-41170
LOG-80382,VisionX Switch,2025-01-09,Cancelled,2025-07-01,2025-07-08,Pending,Singapore WH,CUST-10544,ORD-44559
LOG-80383,CloudHub Gateway,2025-01-07,Shipped,2025-06-09,2025-03-04,Out for Delivery,New York DC,CUST-10164,ORD-40086
LOG-80384,CloudHub Gateway,2025-08-12,Confirmed,2025-08-23,2025-05-04,Returned,Bangalore WH,CUST-10841,ORD-44308
LOG-80385,StreamLine AP,2025-07-17,In Progress,2025-02-22,2025-04-22,In Transit,London DC,CUST-10450,ORD-40571
LOG-80386,CloudHub Gateway,2025-05-08,Confirmed,2025-07-27,2025-04-08,In Transit,Singapore WH,CUST-10849,ORD-41205
LOG-80387,VisionX Switch,2025-01-25,Cancelled,2025-08-13,2025-03-24,Pending,Berlin Hub,CUST-10278,ORD-40681
LOG-80388,Nova Firewall,2025-01-01,Confirmed,2025-01-22,2025-08-05,In Transit,Singapore WH,CUST-10608,ORD-44806
LOG-80389,SmartEdge Router,2025-05-01,Cancelled,2025-08-24,2025-01-20,In Transit,New York DC,CUST-10110,ORD-43669
LOG-80390,SmartEdge Router,2025-05-27,Cancelled,2025-05-12,2025-03-16,Out for Delivery,New York DC,CUST-10768,ORD-44704
LOG-80391,Nova Firewall,2025-06-25,In Progress,2025-07-01,2025-08-31,In Transit,Singapore WH,CUST-10143,ORD-43580
LOG-80392,CloudHub Gateway,2025-07-11,Cancelled,2025-08-08,2025-02-19,Returned,Berlin Hub,CUST-10084,ORD-43472
LOG-80393,Nova Firewall,2025-06-07,Confirmed,2025-06-02,2025-06-06,Pending,Berlin Hub,CUST-10302,ORD-44657
LOG-80394,VisionX Switch,2025-05-26,Delivered,2025-05-09,2025-07-16,Delivered,London DC,CUST-10169,ORD-41400
LOG-80395,Nova Firewall,2025-04-01,Cancelled,2025-04-21,2025-01-30,Returned,Singapore WH,CUST-10139,ORD-44085
LOG-80396,CloudHub Gateway,2025-02-25,Shipped,2025-01-05,2025-01-03,Pending,London DC,CUST-10206,ORD-43433
LOG-80397,VisionX Switch,2025-06-20,Shipped,2025-04-28,2025-05-03,Delivered,New York DC,CUST-10799,ORD-41464
LOG-80398,CloudHub Gateway,2025-07-09,Cancelled,2025-05-02,2025-03-23,In Transit,New York DC,CUST-10301,ORD-41677
LOG-80399,StreamLine AP,2025-07-08,Delivered,2025-04-07,2025-06-24,In Transit,Singapore WH,CUST-10469,ORD-44481
LOG-80400,VisionX Switch,2025-05-24,Confirmed,2025-03-11,2025-07-08,Delivered,New York DC,CUST-10127,ORD-44515
LOG-80401,SmartEdge Router,2025-04-27,Delivered,2025-02-18,2025-04-25,In Transit,London DC,CUST-10294,ORD-41024
LOG-80402,StreamLine AP,2025-06-24,In Progress,2025-01-18,2025-08-28,In Transit,New York DC,CUST-10367,ORD-42121
LOG-80403,StreamLine AP,2025-06-07,In Progress,2025-07-11,2025-03-30,Pending,Berlin Hub,CUST-10947,ORD-43079
LOG-80404,CloudHub Gateway,2025-05-18,Cancelled,2025-08-20,2025-03-16,In Transit,London DC,CUST-10248,ORD-41235
LOG-80405,VisionX Switch,2025-06-07,Cancelled,2025-07-26,2025-02-08,Returned,New York DC,CUST-10033,ORD-41080
LOG-80406,Nova Firewall,2025-02-18,Delivered,2025-02-07,2025-02-23,Out for Delivery,London DC,CUST-10138,ORD-44339
LOG-80407,SmartEdge Router,2025-03-02,Shipped,2025-08-14,2025-01-20,Out for Delivery,London DC,CUST-10378,ORD-43048
LOG-80408,CloudHub Gateway,2025-06-22,Shipped,2025-07-11,2025-08-18,Returned,Singapore WH,CUST-10176,ORD-40616
LOG-80409,VisionX Switch,2025-07-29,Confirmed,2025-08-19,2025-03-01,Out for Delivery,Bangalore WH,CUST-10528,ORD-43186
LOG-80410,SmartEdge Router,2025-05-29,Delivered,2025-04-05,2025-02-22,Delivered,London DC,CUST-10185,ORD-43527
LOG-80411,VisionX Switch,2025-08-16,Shipped,2025-03-16,2025-01-19,Pending,New York DC,CUST-10695,ORD-40912
LOG-80412,Nova Firewall,2025-06-05,In Progress,2025-05-21,2025-06-18,In Transit,London DC,CUST-10703,ORD-42732
